InstitutionName,RD2017,Citations,Patents
University of Hawaii at Manoa,292021,#N/A,#N/A
Hawaii Pacific University,2175,#N/A,#N/A
Boise State University,34992,223770,21
Idaho State University,18564,164146,7
University of Idaho,109537,467074,108
Lewis-Clark State College,378,#N/A,#N/A
Northwest Nazarene University,696,#N/A,#N/A
Bradley University,1839,27375,3
Midwestern University,9207,29042,#N/A
Chicago State University,1861,#N/A,#N/A
University of Chicago,#N/A,#N/A,634
Columbia College Chicago,0,#N/A,#N/A
DePaul University,8561,#N/A,#N/A
Eastern Illinois University,901,9343,#N/A
Governors State University,655,#N/A,#N/A
Rosalind Franklin University of Medicine and Science,17006,37582,8
University of Illinois Chicago,#N/A,1963835,#N/A
Benedictine University,0,#N/A,#N/A
Illinois College of Optometry,329,#N/A,#N/A
Illinois Wesleyan University,0,1967,#N/A
Illinois Institute of Technology,32659,463970,112
Illinois State University,20080,#N/A,6
Lake Forest College,488,#N/A,2
Loyola University Chicago,39738,288208,#N/A
National University of Health Sciences,0,#N/A,#N/A
North Central College,358,#N/A,#N/A
Northern Illinois University,19150,214156,31
Northwestern University,751809,#N/A,668
Northeastern Illinois University,1403,7929,#N/A
Roosevelt University,0,#N/A,#N/A
Dominican University,198,#N/A,#N/A
Rush University,74062,#N/A,17
Southern Illinois University Edwardsville,17393,65147,#N/A
Western Illinois University,2006,21746,#N/A
Ball State University,8797,79935,7
Butler University,525,13519,1
DePauw University,327,#N/A,#N/A
Earlham College,603,#N/A,#N/A
University of Evansville,389,1434,#N/A
University of Indianapolis,#N/A,6568,#N/A
University of Southern Indiana,0,7716,#N/A
Indiana State University,1284,20512,1
Indiana University Bloomington,#N/A,2091863,#N/A
Indiana University Northwest,#N/A,1331,#N/A
Indiana Wesleyan University,615,#N/A,#N/A
University of Notre Dame,212823,1781643,89
Purdue University Northwest,#N/A,10436,#N/A
Rose-Hulman Institute of Technology,862,#N/A,4
Taylor University,212,#N/A,#N/A
Valparaiso University,3083,4770,#N/A
Wabash College,392,#N/A,1
Coe College,546,#N/A,#N/A
Cornell College,510,#N/A,#N/A
Drake University,1215,13257,#N/A
Grinnell College,4953,8195,#N/A
University of Iowa,494280,2820010,538
Luther College,838,#N/A,#N/A
University of Northern Iowa,3303,52796,#N/A
Emporia State University,367,1294,#N/A
Fort Hays State University,913,#N/A,#N/A
Haskell Indian Nations University,0,#N/A,#N/A
University of Kansas,300319,1277041,190
Kansas State University,196478,27147,213
Pittsburg State University,2255,4567,9
Wichita State University,78514,96908,8
Bellarmine University,0,#N/A,#N/A
Berea College,0,#N/A,#N/A
Centre College,498,#N/A,#N/A
Eastern Kentucky University,1248,9470,#N/A
Kentucky State University,7412,#N/A,#N/A
University of Kentucky,378374,1572357,491
University of Louisville,177588,831527,85
Morehead State University,2860,#N/A,#N/A
Murray State University,2459,13767,#N/A
Northern Kentucky University,1649,#N/A,#N/A
Union College,#N/A,#N/A,1
Western Kentucky University,10814,71839,8
Dillard University,7095,#N/A,#N/A
Grambling State University,5911,#N/A,#N/A
Louisiana Tech University,22741,44263,35
Loyola University New Orleans,541,5414,#N/A
McNeese State University,1467,#N/A,1
University of New Orleans,15939,39163,26
Nicholls State University,866,#N/A,1
University of Louisiana at Monroe,2297,1598,3
Northwestern State University of Louisiana,1373,#N/A,#N/A
Southeastern Louisiana University,2206,#N/A,2
University of Louisiana at Lafayette,100956,122949,11
Tulane University,180993,#N/A,123
Xavier University of Louisiana,12424,4116,#N/A
Bates College,1853,7780,#N/A
Bowdoin College,2340,15774,#N/A
Colby College,2071,22835,#N/A
University of Maine at Machias,737,#N/A,#N/A
University of Maine,99502,#N/A,56
Maine Maritime Academy,1763,#N/A,#N/A
University of New England,8064,#N/A,#N/A
Saint Joseph's College of Maine,0,#N/A,#N/A
University of Southern Maine,7147,#N/A,#N/A
Unity College,0,#N/A,#N/A
University of Baltimore,6851,12864,#N/A
Bowie State University,1813,#N/A,#N/A
Coppin State University,230,#N/A,#N/A
Frostburg State University,0,#N/A,#N/A
Goucher College,336,#N/A,#N/A
Johns Hopkins University,#N/A,4103331,1557
Loyola University Maryland,784,32178,#N/A
Maryland Institute College of Art,499,#N/A,#N/A
Morgan State University,14978,40033,#N/A
Salisbury University,7731,8231,6
St. Mary's College of Maryland,662,#N/A,#N/A
Sojourner-Douglass College,0,#N/A,#N/A
Towson University,2834,#N/A,1
Uniformed Services University of the Health Sciences,298370,300783,1
United States Naval Academy,13541,73494,#N/A
Hult International Business School,1014,1422,#N/A
Amherst College,4070,31129,#N/A
Babson College,1849,80402,#N/A
Bentley University,562,105658,#N/A
Boston College,58088,1057282,34
Boston University,421360,3794917,382
Brandeis University,68437,568049,107
Bridgewater State University,#N/A,7177,#N/A
Clark University,8453,111484,3
Emerson College,1488,2328,#N/A
Fitchburg State University,0,#N/A,#N/A
Gordon College,0,#N/A,#N/A
Gordon-Conwell Theological Seminary,150,#N/A,#N/A
Hampshire College,585,#N/A,1
Harvard University,1123160,#N/A,849
College of the Holy Cross,673,14383,1
Lesley University,0,#N/A,#N/A
Woods Hole Oceanographic Institution,194088,#N/A,30
University of Massachusetts Amherst,210416,2264284,#N/A
University of Massachusetts Boston,70019,457211,#N/A
Massachusetts Institute of Technology,952017,#N/A,4017
MGH Institute of Health Professions,2282,1053,#N/A
Mount Holyoke College,3635,21010,1
New England College of Optometry,#N/A,#N/A,1
Northeastern University,142349,593726,194
Regis College,#N/A,#N/A,1
Salem State University,#N/A,6478,#N/A
Smith College,6055,45047,1
University of Massachusetts Dartmouth,26102,118723,#N/A
Stonehill College,755,#N/A,#N/A
Suffolk University,1421,49703,#N/A
Tufts University,223409,1641146,233
Wellesley College,10326,87868,3
Wentworth Institute of Technology,#N/A,1037,#N/A
Western New England University,#N/A,5663,#N/A
Williams College,5227,70087,#N/A
Worcester Polytechnic Institute,33368,409041,53
Albion College,1074,#N/A,#N/A
Andrews University,966,#N/A,#N/A
Calvin University,#N/A,9848,#N/A
Central Michigan University,14652,182265,#N/A
University of Detroit Mercy,2748,4953,#N/A
Eastern Michigan University,6281,47989,8
Ferris State University,728,1016,1
Kettering University,4233,4753,3
Grand Valley State University,6917,84736,2
Hope College,3225,9115,#N/A
Kalamazoo College,671,#N/A,#N/A
Lake Superior State University,1067,#N/A,#N/A
Lawrence Technological University,1942,4605,4
Michigan State University,694917,#N/A,808
Michigan Technological University,71629,445489,134
University of Michigan Flint,#N/A,3225,#N/A
Northern Michigan University,1339,8393,#N/A
Oakland Community College,#N/A,#N/A,4
Oakland University,14561,266206,14
Saginaw Valley State University,1406,#N/A,5
Wayne State University,227728,1244335,260
Western Michigan University,22372,244496,18
Bemidji State University,0,#N/A,#N/A
Carleton College,6888,7707,#N/A
Gustavus Adolphus College,641,1077,#N/A
Hamline University,0,#N/A,#N/A
Macalester College,1916,17034,#N/A
"Minnesota State University, Mankato",2471,#N/A,#N/A
Metropolitan State University,0,#N/A,#N/A
Northwestern Health Sciences University,0,#N/A,#N/A
College of Saint Benedict,1122,#N/A,#N/A
Saint Cloud State University,#N/A,4337,#N/A
Saint John's University,#N/A,53480,#N/A
Saint Mary's University of Minnesota,153,#N/A,#N/A
St. Olaf College,1539,#N/A,#N/A
University of St. Thomas,#N/A,#N/A,1
St. Catherine University,605,#N/A,#N/A
Winona State University,349,#N/A,#N/A
Alcorn State University,16129,#N/A,1
Delta State University,483,#N/A,#N/A
Jackson State University,22790,34452,4
Millsaps College,839,#N/A,#N/A
University of Mississippi,#N/A,407388,83
Mississippi University for Women,0,#N/A,#N/A
Mississippi Valley State University,806,#N/A,#N/A
Mississippi College,0,#N/A,#N/A
Mississippi State University,240972,410548,95
University of Southern Mississippi,#N/A,157350,69
Tougaloo College,3030,#N/A,#N/A
University of Central Missouri,289,4602,#N/A
A.T. Still University of Health Sciences,#N/A,#N/A,1
Logan University,193,#N/A,#N/A
Missouri Western State University,286,#N/A,#N/A
Missouri University of Science and Technology,38243,#N/A,#N/A
Truman State University,374,#N/A,1
Northwest Missouri State University,586,#N/A,2
Rockhurst University,#N/A,#N/A,4
Saint Louis University,56402,458211,#N/A
Southeast Missouri State University,604,3675,#N/A
Missouri State University,3215,56280,#N/A
Salish Kootenai College,1481,#N/A,#N/A
Creighton University,24315,131361,34
University of Nebraska Medical Center,171491,546589,#N/A
Nebraska Wesleyan University,0,#N/A,#N/A
Peru State College,0,#N/A,#N/A
College of Southern Nevada,0,#N/A,#N/A
