InstitutionName,RD2017,Citations,Patents
University of Guam,8842,#N/A,#N/A
Pontifical Catholic University of Puerto Rico,206,#N/A,#N/A
Universidad Central Del Caribe,5634,#N/A,#N/A
University of the Virgin Islands,12298,#N/A,#N/A
Stanford University,1109708,#N/A,2405
Purdue University,0,#N/A,693
Parker University,0,#N/A,#N/A
New College of Florida,998,2843,#N/A
Baylor University Medical Center,#N/A,#N/A,1
Northwest Indian College,1614,#N/A,#N/A
Lake Erie College of Osteopathic Medicine,639,#N/A,#N/A
Erikson Institute,3965,#N/A,#N/A
College of Menominee Nation,0,#N/A,#N/A
National Defense University,6293,#N/A,#N/A
San Juan Bautista School of Medicine,570,#N/A,#N/A
Florida Gulf Coast University,6025,54798,#N/A
Cold Spring Harbor Laboratory,97288,#N/A,107
Marine Corps University,0,#N/A,#N/A
Franklin W. Olin College of Engineering,1553,#N/A,#N/A
International Technological University,695,#N/A,#N/A
Toyota Technological Institute at Chicago,2880,#N/A,#N/A
"University of California, Merced",35093,#N/A,#N/A
United States Air Force Academy,48287,#N/A,#N/A
Tufts University School of Medicine,#N/A,#N/A,2
Southwest University,#N/A,107291,#N/A
Bob Jones University,#N/A,#N/A,1
Roseman University of Health Sciences,4167,#N/A,#N/A
Pacific Northwest University of Health Sciences,427,#N/A,#N/A
Merrimack College,1055,8655,#N/A
Olivet University,0,#N/A,#N/A
Georgia Gwinnett College,492,3596,#N/A
North American University,179,#N/A,#N/A
University of North Georgia,#N/A,9581,#N/A
Antioch College,#N/A,#N/A,1
Baylor College of Medicine,604952,#N/A,319
Florida Polytechnic University,438,5672,#N/A
"University of California, Davis",738347,#N/A,#N/A
Bay Atlantic University,#N/A,220959,#N/A
Texas A&M University San Antonio,#N/A,8628,#N/A
Albert Einstein College of Medicine,289685,91404,#N/A
