InstitutionName,RD2017,RDRank,Citations,PatentsTOP250orALL,PatentsRank,ResearchRank,NationalRank
Claremont Graduate University,11046,195,102194,#N/A,0,1498,290
Claremont McKenna College,5818,243,19548,#N/A,0,-,211
Claremont School of Theology,248,574,#N/A,#N/A,0,#N/A,#N/A
Clarion University of Pennsylvania,0,0,#N/A,#N/A,0,#N/A,#N/A
Clark Atlanta University,8007,215,#N/A,#N/A,0,#N/A,#N/A
Clark University,8453,212,111484,3,198,1334,242
Clarkson University,15148,179,166672,11,152,1303,271
Clayton State University,#N/A,0,2346,#N/A,0,#N/A,#N/A
Clemson University,193268,62,1001805,250,47,523,150
Cleveland State University,83762,100,153630,41,111,1442,294
Coastal Carolina University,1893,339,14688,#N/A,0,#N/A,#N/A
Coe College,546,491,#N/A,#N/A,0,#N/A,#N/A
Colby College,2071,329,22835,#N/A,0,#N/A,#N/A
Colby-Sawyer College,0,0,#N/A,#N/A,0,#N/A,#N/A
Cold Spring Harbor Laboratory,97288,97,#N/A,107,82,831,158
Colgate University,3414,279,49628,#N/A,0,1920,204
College of Charleston,8927,207,95794,#N/A,0,1530,307
College of Menominee Nation,0,0,#N/A,#N/A,0,#N/A,#N/A
"College of New Jersey, The",1078,401,#N/A,#N/A,0,#N/A,#N/A
College of Saint Benedict,1122,399,#N/A,#N/A,0,#N/A,#N/A
College of Southern Nevada,0,0,#N/A,#N/A,0,#N/A,#N/A
College of the Holy Cross,673,461,14383,1,240,-,214
College of William and Mary,64127,107,#N/A,18,140,#N/A,#N/A
Colorado College,2215,320,3817,#N/A,0,#N/A,#N/A
Colorado Mesa University,353,546,#N/A,#N/A,0,#N/A,#N/A
Colorado School of Mines,59477,111,695966,60,98,735,134
Colorado State University,#N/A,0,1925203,130,73,248,87
Columbia College Chicago,0,0,#N/A,#N/A,0,#N/A,#N/A
Columbia University in the City of New York,893062,10,#N/A,#N/A,0,#N/A,#N/A
Columbus State University,0,0,3793,#N/A,0,#N/A,#N/A
Concord University,0,0,#N/A,#N/A,0,#N/A,#N/A
Concordia University,#N/A,0,#N/A,#N/A,0,589,22
Connecticut College,1875,341,3350,1,229,#N/A,#N/A
Converse College,175,591,#N/A,#N/A,0,#N/A,#N/A
Coppin State University,230,578,#N/A,#N/A,0,#N/A,#N/A
Cornell College,510,498,#N/A,#N/A,0,#N/A,#N/A
Cornell University,984478,6,5766836,1366,5,24,11
Creighton University,24315,145,131361,34,119,935,219
Daemen College,0,0,#N/A,2,213,#N/A,#N/A
Dakota State University,2284,316,#N/A,#N/A,0,#N/A,#N/A
Dakota Wesleyan University,240,575,#N/A,#N/A,0,#N/A,#N/A
Dartmouth College,308445,37,1761778,221,51,263,23
Davidson College,1736,354,7103,#N/A,0,#N/A,#N/A
Delaware State University,20793,155,5310,#N/A,0,#N/A,#N/A
Delta State University,483,510,#N/A,#N/A,0,#N/A,#N/A
Denison University,0,0,10726,#N/A,0,#N/A,#N/A
DePaul University,8561,211,#N/A,#N/A,0,1386,276
DePauw University,327,554,#N/A,#N/A,0,#N/A,#N/A
Dickinson College,869,433,8226,#N/A,0,#N/A,#N/A
Dickinson State University,0,0,#N/A,#N/A,0,#N/A,#N/A
Dillard University,7095,226,#N/A,#N/A,0,#N/A,#N/A
Dine College,0,0,#N/A,#N/A,0,#N/A,#N/A
Dominican University,198,585,#N/A,#N/A,0,#N/A,#N/A
Dominican University of California,914,421,#N/A,#N/A,0,#N/A,#N/A
Dowling College,0,0,#N/A,2,214,#N/A,#N/A
Drake University,1215,397,13257,#N/A,0,#N/A,#N/A
Drew University,0,0,1715,#N/A,0,-,326
Drexel University,138577,84,#N/A,203,55,390,110
Duke University,1126924,3,#N/A,750,13,21,16
Duquesne University,17197,168,149168,#N/A,0,1784,334
Earlham College,603,482,#N/A,#N/A,0,#N/A,#N/A
East Carolina University,26117,143,#N/A,51,106,800,193
East Central University,493,504,#N/A,#N/A,0,#N/A,#N/A
East Stroudsburg University of Pennsylvania,324,555,#N/A,#N/A,0,#N/A,#N/A
East Tennessee State University,9493,203,68683,5,176,1623,323
Eastern Connecticut State University,1228,396,6368,#N/A,0,#N/A,#N/A
Eastern Illinois University,901,426,9343,#N/A,0,#N/A,#N/A
Eastern Kentucky University,1248,393,9470,#N/A,0,#N/A,#N/A
Eastern Mennonite University,257,572,#N/A,#N/A,0,#N/A,#N/A
Eastern Michigan University,6281,236,47989,8,159,#N/A,#N/A
Eastern New Mexico University,492,506,#N/A,#N/A,0,#N/A,#N/A
Eastern Oregon University,493,505,#N/A,#N/A,0,#N/A,#N/A
Eastern Virginia Medical School,28671,142,10119,42,108,1383,286
Eastern Washington University,2000,335,6074,2,223,#N/A,#N/A
Eckerd College,809,442,2656,#N/A,0,#N/A,#N/A
Edinboro University of Pennsylvania,0,0,#N/A,#N/A,0,#N/A,#N/A
Elizabeth City State University,1340,385,#N/A,#N/A,0,#N/A,#N/A
Elizabethtown College,0,0,#N/A,#N/A,0,#N/A,#N/A
Elon University,2407,310,24926,#N/A,0,#N/A,#N/A
Emerson College,1488,371,2328,#N/A,0,#N/A,#N/A
Emory University,664888,17,3742298,354,36,63,54
Emporia State University,367,541,1294,#N/A,0,#N/A,#N/A
Erikson Institute,3965,267,#N/A,#N/A,0,#N/A,#N/A
Erskine College,#N/A,0,#N/A,1,262,#N/A,#N/A
Fairfield University,8749,210,23704,2,208,1381,278
Fairleigh Dickinson University,643,473,11733,1,250,#N/A,#N/A
Fairmont State University,0,0,#N/A,#N/A,0,#N/A,#N/A
Fayetteville State University,5105,249,8564,#N/A,0,#N/A,#N/A
Ferris State University,728,453,1016,1,245,#N/A,#N/A
Ferrum College,0,0,#N/A,#N/A,0,#N/A,#N/A
Fielding Graduate University,0,0,1004,#N/A,0,#N/A,#N/A
Fisk University,5017,251,#N/A,#N/A,0,#N/A,#N/A
Fitchburg State University,0,0,#N/A,#N/A,0,#N/A,#N/A
Florida Agricultural and Mechanical University,37578,128,#N/A,16,145,1739,330
Florida Atlantic University,46025,120,728395,162,65,1008,230
Florida Gulf Coast University,6025,239,54798,#N/A,0,#N/A,#N/A
Florida Institute of Technology,18180,164,155549,13,149,924,216
Florida International University,177292,71,#N/A,17,141,439,130
Florida Polytechnic University,438,519,5672,#N/A,0,#N/A,#N/A
Florida State University,282901,42,2019683,306,41,222,92
Fordham University,20807,154,281293,42,107,1115,225
Fort Hays State University,913,422,#N/A,#N/A,0,#N/A,#N/A
Fort Lewis College,916,420,1584,#N/A,0,#N/A,#N/A
Fort Valley State University,5374,247,#N/A,#N/A,0,#N/A,#N/A
Francis Marion University,202,584,#N/A,#N/A,0,#N/A,#N/A
