InstitutionName,RD2017,RDRank,Citations,PatentsTOP250orALL,PatentsRank,ResearchRank,NationalRank
Pace University,5028,250,68972,2,217,#N/A,#N/A
Pacific Lutheran University,238,576,2623,#N/A,0,#N/A,#N/A
Pacific Northwest University of Health Sciences,427,521,#N/A,#N/A,0,#N/A,#N/A
Pacific University,7770,217,#N/A,#N/A,0,#N/A,#N/A
Paine College,270,566,#N/A,#N/A,0,#N/A,#N/A
Palo Alto University,1459,375,#N/A,#N/A,0,#N/A,#N/A
Parker University,0,0,#N/A,#N/A,0,#N/A,#N/A
Pennsylvania State University,#N/A,0,4040475,642,19,51,33
Pepperdine University,2396,311,44129,1,228,-,202
Peru State College,0,0,#N/A,#N/A,0,#N/A,#N/A
Philadelphia College of Osteopathic Medicine,2969,297,#N/A,2,220,#N/A,#N/A
Philander Smith College,378,536,#N/A,#N/A,0,#N/A,#N/A
Pittsburg State University,2255,318,4567,9,154,#N/A,#N/A
Pitzer College,837,440,#N/A,#N/A,0,#N/A,#N/A
Plymouth State University,1131,398,#N/A,#N/A,0,#N/A,#N/A
Point Loma Nazarene University,168,592,#N/A,#N/A,0,#N/A,#N/A
Polytechnic Institute of New York University,0,0,#N/A,41,110,#N/A,#N/A
Pomona College,3205,292,25335,#N/A,0,-,261
Pontifical Catholic University of Puerto Rico,206,583,#N/A,#N/A,0,#N/A,#N/A
Portland State University,48964,117,598334,24,130,862,200
Prescott College,0,0,#N/A,#N/A,0,#N/A,#N/A
Princeton University,326207,36,#N/A,536,24,71,5
Providence College,1014,410,6688,#N/A,0,#N/A,#N/A
Purdue University,0,0,#N/A,693,17,104,34
Purdue University Northwest,#N/A,0,10436,#N/A,0,#N/A,#N/A
Quinnipiac University,1036,406,#N/A,#N/A,0,#N/A,#N/A
Radford University,653,469,7558,#N/A,0,#N/A,#N/A
Ramapo College of New Jersey,383,533,3519,#N/A,0,#N/A,#N/A
Reed College,1415,378,17150,#N/A,0,-,354
Regent University,0,0,1551,#N/A,0,#N/A,#N/A
Regis College,#N/A,0,#N/A,1,243,#N/A,#N/A
Regis University,661,465,#N/A,#N/A,0,#N/A,#N/A
Rensselaer Polytechnic Institute,#N/A,0,#N/A,#N/A,0,585,145
Rhode Island College,9030,205,2269,#N/A,0,#N/A,#N/A
Rhode Island School of Design,1086,400,#N/A,#N/A,0,#N/A,#N/A
Rhodes College,0,0,7147,#N/A,0,#N/A,#N/A
Rice University,167277,74,2308728,#N/A,0,235,58
Rider University,1565,365,8210,#N/A,0,#N/A,#N/A
Roanoke College,539,495,#N/A,7,166,#N/A,#N/A
Robert Morris University,#N/A,0,8445,#N/A,0,#N/A,#N/A
Rochester Institute of Technology,51263,116,420504,54,103,1033,236
Rockefeller University,#N/A,0,558110,469,27,398,26
Rockhurst University,#N/A,0,#N/A,4,183,#N/A,#N/A
Roger Williams University,2952,298,4142,#N/A,0,#N/A,#N/A
Rollins College,543,492,9913,#N/A,0,#N/A,#N/A
Roosevelt University,0,0,#N/A,#N/A,0,#N/A,#N/A
Rosalind Franklin University of Medicine and Science,17006,169,37582,8,156,1796,339
Rose-Hulman Institute of Technology,862,435,#N/A,4,179,#N/A,#N/A
Roseman University of Health Sciences,4167,263,#N/A,#N/A,0,#N/A,#N/A
Rowan University,12856,189,175559,1,251,1558,314
Rush University,74062,102,#N/A,17,143,463,141
"Rutgers, The State University of New Jersey",0,0,#N/A,#N/A,0,#N/A,#N/A
Sacred Heart University,#N/A,0,13773,#N/A,0,#N/A,#N/A
Saginaw Valley State University,1406,380,#N/A,5,173,#N/A,#N/A
Saint Cloud State University,#N/A,0,4337,#N/A,0,#N/A,#N/A
Saint Francis University,0,0,#N/A,1,259,#N/A,#N/A
Saint John Fisher College,#N/A,0,7873,#N/A,0,#N/A,#N/A
Saint John's University,#N/A,0,53480,#N/A,0,#N/A,#N/A
Saint Joseph's College of Maine,0,0,#N/A,#N/A,0,#N/A,#N/A
Saint Joseph's University,2409,309,34772,#N/A,0,#N/A,#N/A
Saint Louis University,56402,114,458211,#N/A,0,512,120
Saint Mary's College of California,#N/A,0,1700,#N/A,0,#N/A,#N/A
Saint Mary's University of Minnesota,153,594,#N/A,#N/A,0,#N/A,#N/A
Salem State University,#N/A,0,6478,#N/A,0,#N/A,#N/A
Salisbury University,7731,218,8231,6,170,#N/A,#N/A
Salish Kootenai College,1481,372,#N/A,#N/A,0,#N/A,#N/A
Salus University,1566,364,#N/A,#N/A,0,#N/A,#N/A
Salve Regina University,283,562,#N/A,#N/A,0,#N/A,#N/A
Sam Houston State University,3658,275,89172,3,204,1882,352
Samford University,#N/A,0,6181,#N/A,0,#N/A,#N/A
San Diego State University,89187,99,923372,23,132,515,144
San Francisco State University,29940,138,226683,#N/A,0,1066,244
San Jose State University,39192,126,#N/A,#N/A,0,1269,266
San Juan Bautista School of Medicine,570,486,#N/A,#N/A,0,#N/A,#N/A
Santa Clara University,2145,325,#N/A,#N/A,0,1504,251
Sarah Lawrence College,0,0,#N/A,#N/A,0,#N/A,#N/A
Savannah State University,1407,379,#N/A,#N/A,0,#N/A,#N/A
Scripps College,358,545,#N/A,#N/A,0,#N/A,#N/A
Seattle Pacific University,996,412,10008,#N/A,0,#N/A,#N/A
Seattle University,1623,358,40075,#N/A,0,#N/A,#N/A
Seton Hall University,7272,223,#N/A,4,184,#N/A,#N/A
Shaw University,0,0,#N/A,1,255,#N/A,#N/A
Shenandoah University,#N/A,0,1275,#N/A,0,#N/A,#N/A
Shepherd University,490,508,#N/A,#N/A,0,#N/A,#N/A
Shippensburg University of Pennsylvania,727,454,6940,#N/A,0,#N/A,#N/A
Siena College,1425,376,5834,1,253,#N/A,#N/A
Sinte Gleska University,0,0,#N/A,#N/A,0,#N/A,#N/A
Sitting Bull College,0,0,#N/A,#N/A,0,#N/A,#N/A
Skidmore College,1859,343,10949,#N/A,0,#N/A,#N/A
Slippery Rock University of Pennsylvania,0,0,#N/A,#N/A,0,#N/A,#N/A
Smith College,6055,238,45047,1,244,1872,228
Sofia University,#N/A,0,#N/A,#N/A,0,866,1
Sojourner-Douglass College,0,0,#N/A,#N/A,0,#N/A,#N/A
Sonoma State University,765,450,18911,#N/A,0,1830,344
South Carolina State University,14300,184,#N/A,#N/A,0,#N/A,#N/A
South Dakota School of Mines and Technology,#N/A,0,#N/A,24,131,1923,328
South Dakota State University,63412,108,141478,4,188,1093,248
Southeast Missouri State University,604,481,3675,#N/A,0,#N/A,#N/A
Southeastern Louisiana University,2206,321,#N/A,2,210,#N/A,#N/A
Southeastern Oklahoma State University,0,0,#N/A,#N/A,0,#N/A,#N/A
Southern College of Optometry,272,564,#N/A,1,263,#N/A,#N/A
Southern Connecticut State University,2493,305,13368,#N/A,0,#N/A,#N/A
Southern Illinois University Carbondale,#N/A,0,#N/A,#N/A,0,795,194
Southern Illinois University Edwardsville,17393,166,65147,#N/A,0,#N/A,#N/A
Southern Methodist University,29879,139,517082,30,123,651,100
Southern Oregon University,776,449,1191,#N/A,0,#N/A,#N/A
Southern Polytechnic State University,0,0,#N/A,#N/A,0,#N/A,#N/A
Southern Utah University,657,467,5004,#N/A,0,#N/A,#N/A
Southwest University,#N/A,0,107291,#N/A,0,567,62
Southwestern Oklahoma State University,274,563,#N/A,#N/A,0,#N/A,#N/A
Southwestern University,446,518,1391,#N/A,0,#N/A,#N/A
Spelman College,2079,328,1286,6,168,#N/A,#N/A
St. Bonaventure University,651,470,#N/A,#N/A,0,#N/A,#N/A
St. Catherine University,605,480,#N/A,#N/A,0,#N/A,#N/A
St. Edward's University,10149,201,#N/A,#N/A,0,#N/A,#N/A
St. John's University,#N/A,0,#N/A,#N/A,0,1904,310
St. Lawrence University,639,476,#N/A,#N/A,0,-,356
St. Mary's College of Maryland,662,464,#N/A,#N/A,0,#N/A,#N/A
St. Olaf College,1539,368,#N/A,#N/A,0,#N/A,#N/A
Stanford University,1109708,5,#N/A,2405,2,2,3
Stephen F Austin State University,#N/A,0,6762,#N/A,0,#N/A,#N/A
Stetson University,334,552,9030,#N/A,0,#N/A,#N/A
Stevens Institute of Technology,35144,132,294386,69,92,1293,243
Stockton University,1237,395,#N/A,#N/A,0,#N/A,#N/A
Stonehill College,755,451,#N/A,#N/A,0,#N/A,#N/A
Suffolk University,1421,377,49703,#N/A,0,#N/A,#N/A
Sul Ross State University,2500,304,#N/A,#N/A,0,#N/A,#N/A
SUNY College of Environmental Science and Forestry,#N/A,0,#N/A,#N/A,0,1439,263
SUNY Downstate Medical Center,#N/A,0,#N/A,#N/A,0,892,175
SUNY Maritime College,#N/A,0,#N/A,#N/A,0,-,355
SUNY Upstate Medical University,#N/A,0,#N/A,#N/A,0,954,221
Susquehanna University,971,417,#N/A,#N/A,0,#N/A,#N/A
Swarthmore College,3569,277,29805,#N/A,0,1960,152
Sweet Briar College,0,0,#N/A,#N/A,0,#N/A,#N/A
Syracuse University,145705,79,#N/A,123,76,510,133
Tarleton State University,10893,196,7667,#N/A,0,#N/A,#N/A
Taylor University,212,582,#N/A,#N/A,0,#N/A,#N/A
Temple University,268385,43,1854409,219,52,319,111
Tennessee State University,18108,165,19152,#N/A,0,#N/A,#N/A
Tennessee Technological University,12079,192,30364,3,203,#N/A,#N/A
Texas A&M Health Science Center,0,0,#N/A,#N/A,0,#N/A,#N/A
Texas A&M International University,4745,255,3110,#N/A,0,#N/A,#N/A
Texas A&M University San Antonio,#N/A,0,8628,#N/A,0,#N/A,#N/A
Texas Christian University,7255,224,187298,5,177,1352,283
Texas Lutheran University,259,571,#N/A,2,221,#N/A,#N/A
Texas Southern University,4722,256,21737,#N/A,0,#N/A,#N/A
Texas State University,60741,109,316258,1,264,1146,259
Texas Tech University,191482,63,746687,61,97,416,123
Texas Tech University Health Sciences Center,#N/A,0,#N/A,13,150,1337,281
Texas Woman's University,4073,265,22122,#N/A,0,#N/A,#N/A
The New School,#N/A,0,65997,#N/A,0,1912,357
The Scripps Research Institute,#N/A,0,#N/A,#N/A,0,295,78
The University of the Arts,#N/A,0,#N/A,1,258,#N/A,#N/A
Thomas Jefferson University,142569,81,#N/A,365,33,389,118
Thunderbird School of Global Management,0,0,#N/A,#N/A,0,#N/A,#N/A
Tougaloo College,3030,296,#N/A,#N/A,0,#N/A,#N/A
Touro College,679,460,2813,1,254,#N/A,#N/A
Towson University,2834,301,#N/A,1,237,1678,324
Toyota Technological Institute at Chicago,2880,299,#N/A,#N/A,0,#N/A,#N/A
Trinity College,#N/A,0,8305,#N/A,0,-,351
Trinity University,3274,285,#N/A,3,205,1950,296
Troy University,272,565,10711,#N/A,0,#N/A,#N/A
Truman State University,374,537,#N/A,1,249,#N/A,#N/A
Tufts University,223409,53,1641146,233,50,225,55
Tufts University School of Medicine,#N/A,0,#N/A,2,224,#N/A,#N/A
Tulane University,180993,69,#N/A,123,75,426,121
Turtle Mountain Community College,0,0,#N/A,#N/A,0,#N/A,#N/A
Tuskegee University,16535,171,4157,2,207,#N/A,#N/A
Uniformed Services University of the Health Sciences,298370,39,300783,1,238,796,195
Union College,#N/A,0,#N/A,1,234,-,318
Union Graduate College,0,0,#N/A,#N/A,0,#N/A,#N/A
United States Air Force Academy,48287,118,#N/A,#N/A,0,#N/A,#N/A
United States Coast Guard Academy,644,472,#N/A,#N/A,0,#N/A,#N/A
United States Military Academy,13617,186,#N/A,#N/A,0,-,237
United States Naval Academy,13541,187,73494,#N/A,0,1665,222
Unity College,0,0,#N/A,#N/A,0,#N/A,#N/A
Universidad Central Del Caribe,5634,245,#N/A,#N/A,0,#N/A,#N/A
University of Akron,#N/A,0,426532,294,44,835,201
University of Alabama at Birmingham,#N/A,0,#N/A,#N/A,0,151,68
University of Alaska Anchorage,20861,153,#N/A,#N/A,0,1740,331
University of Alaska Fairbanks,152694,78,#N/A,#N/A,0,648,169
University of Alaska Southeast,1621,360,#N/A,#N/A,0,#N/A,#N/A
University of Arizona,#N/A,0,3253714,176,61,101,48
University of Arkansas at Little Rock,6833,232,#N/A,#N/A,0,1550,313
University of Arkansas for Medical Sciences,128508,86,503073,15,146,638,168
"University of Arkansas, Fayetteville",157791,76,#N/A,#N/A,0,#N/A,#N/A
University of Baltimore,6851,231,12864,#N/A,0,#N/A,#N/A
University of Bridgeport,726,455,8175,#N/A,0,#N/A,#N/A
"University of California, Berkeley",770822,12,#N/A,#N/A,0,14,10
"University of California, Davis",738347,15,#N/A,#N/A,0,46,35
"University of California, Irvine",361414,31,#N/A,#N/A,0,102,45
"University of California, Merced",35093,133,#N/A,#N/A,0,810,198
"University of California, Riverside",163632,75,#N/A,#N/A,0,217,82
"University of California, San Francisco",1409398,1,#N/A,#N/A,0,23,24
"University of California, Santa Barbara",238246,49,#N/A,#N/A,0,133,50
"University of California, Santa Cruz",124344,88,#N/A,#N/A,0,252,83
University of Central Arkansas,3313,283,32539,#N/A,0,#N/A,#N/A
University of Central Florida,233702,51,1340105,544,22,441,131
University of Central Missouri,289,560,4602,#N/A,0,#N/A,#N/A
University of Central Oklahoma,5832,242,6798,#N/A,0,#N/A,#N/A
University of Chicago,#N/A,0,#N/A,634,20,22,7
University of Cincinnati,455250,25,1531695,234,49,189,80
University of Colorado Denver,#N/A,0,#N/A,#N/A,0,399,119
University of Connecticut,267647,44,2060423,338,38,229,90
University of Dallas,0,0,1741,#N/A,0,#N/A,#N/A
University of Dayton,135214,85,200010,140,70,1418,238
University of Delaware,183428,67,2189140,305,43,332,103
University of Denver,22289,150,379888,3,193,854,183
University of Detroit Mercy,2748,302,4953,#N/A,0,#N/A,#N/A
University of Evansville,389,531,1434,#N/A,0,#N/A,#N/A
University of Florida,801418,11,4357312,1238,6,57,47
University of Georgia,455432,24,1804,327,39,212,73
University of Guam,8842,208,#N/A,#N/A,0,#N/A,#N/A
University of Hartford,1801,351,9559,3,194,#N/A,#N/A
University of Hawaii at Hilo,7008,228,#N/A,#N/A,0,1867,348
University of Hawaii at Manoa,292021,40,#N/A,#N/A,0,459,137
University of Houston,169431,73,1669638,162,66,340,86
University of Idaho,109537,91,467074,108,80,702,179
University of Illinois Chicago,#N/A,0,1963835,#N/A,0,#N/A,#N/A
University of Indianapolis,#N/A,0,6568,#N/A,0,#N/A,#N/A
University of Iowa,494280,22,2820010,538,23,132,59
University of Kansas,300319,38,1277041,190,58,224,66
University of Kentucky,378374,29,1572357,491,26,257,99
University of La Verne,#N/A,0,12299,#N/A,0,#N/A,#N/A
University of Louisiana at Lafayette,100956,95,122949,11,151,764,190
University of Louisiana at Monroe,2297,314,1598,3,197,#N/A,#N/A
University of Louisville,177588,70,831527,85,88,431,129
University of Maine,99502,96,#N/A,56,100,#N/A,#N/A
University of Maine at Machias,737,452,#N/A,#N/A,0,#N/A,#N/A
University of Mary Washington,1308,388,4707,#N/A,0,#N/A,#N/A
University of Massachusetts Amherst,210416,57,2264284,#N/A,0,209,62
University of Massachusetts Boston,70019,104,457211,#N/A,0,832,177
University of Massachusetts Dartmouth,26102,144,118723,#N/A,0,1537,308
University of Memphis,#N/A,0,#N/A,14,148,909,212
University of Miami,367877,30,2143192,159,67,172,77
University of Michigan Flint,#N/A,0,3225,#N/A,0,#N/A,#N/A
University of Minnesota - Twin Cities,#N/A,0,#N/A,#N/A,0,28,28
University of Mississippi,#N/A,0,407388,83,89,414,126
University of Nebraska Medical Center,171491,72,546589,#N/A,0,538,157
University of New England,8064,214,#N/A,#N/A,0,#N/A,#N/A
University of New Hampshire,145375,80,620921,36,115,600,160
University of New Haven,5005,252,25221,#N/A,0,#N/A,#N/A
University of New Mexico,#N/A,0,1431491,363,34,247,101
University of New Orleans,15939,176,39163,26,126,1433,295
University of North Alabama,0,0,#N/A,#N/A,0,#N/A,#N/A
University of North Carolina at Chapel Hill,#N/A,0,#N/A,#N/A,0,33,25
University of North Carolina at Charlotte,#N/A,0,#N/A,#N/A,0,760,187
University of North Carolina at Greensboro,#N/A,0,#N/A,#N/A,0,992,227
University of North Dakota,102823,93,144506,55,102,1135,257
University of North Florida,6476,233,104902,8,155,1875,350
University of North Georgia,#N/A,0,9581,#N/A,0,#N/A,#N/A
University of North Texas,#N/A,0,#N/A,39,114,#N/A,#N/A
University of Northern Colorado,4538,258,32626,#N/A,0,#N/A,#N/A
University of Northern Iowa,3303,284,52796,#N/A,0,#N/A,#N/A
University of Notre Dame,212823,54,1781643,89,87,284,63
University of Oklahoma,#N/A,0,940584,306,42,#N/A,#N/A
University of Oklahoma Health Sciences Center,#N/A,0,#N/A,#N/A,0,619,165
University of Oregon,95974,98,1561803,62,96,386,109
University of Pennsylvania,1374293,2,#N/A,1054,7,12,6
University of Portland,934,419,4250,5,175,#N/A,#N/A
University of Puget Sound,902,425,7202,#N/A,0,#N/A,#N/A
University of Redlands,505,500,#N/A,#N/A,0,#N/A,#N/A
University of Rhode Island,101871,94,604339,32,120,785,188
University of Richmond,3106,294,62426,#N/A,0,1777,338
University of Rochester,353003,33,1394675,433,28,145,43
University of San Diego,3876,269,76408,#N/A,0,1919,341
University of San Francisco,2602,303,85401,#N/A,0,1913,288
University of Scranton,314,557,9818,7,164,#N/A,#N/A
University of South Alabama,41431,124,179151,25,127,1248,268
University of South Carolina - Columbia,#N/A,0,#N/A,#N/A,0,296,107
University of South Dakota,#N/A,0,72466,#N/A,0,1385,285
University of South Florida,#N/A,0,1800731,587,21,240,96
University of Southern California,764322,13,#N/A,736,14,69,30
University of Southern Indiana,0,0,7716,#N/A,0,#N/A,#N/A
University of Southern Maine,7147,225,#N/A,#N/A,0,#N/A,#N/A
University of Southern Mississippi,#N/A,0,157350,69,91,1259,269
University of St. Thomas,#N/A,0,#N/A,1,246,#N/A,#N/A
University of Texas at Austin,#N/A,0,#N/A,#N/A,0,55,21
University of Texas Health Science Center Houston,#N/A,0,#N/A,2,222,#N/A,#N/A
University of Texas Southwestern Medical Center,#N/A,0,#N/A,#N/A,0,149,32
University of the District of Columbia,3733,272,3696,#N/A,0,#N/A,#N/A
University of the Incarnate Word,1911,338,#N/A,#N/A,0,#N/A,#N/A
University of the Pacific,2155,324,26022,3,192,1876,347
University of the Virgin Islands,12298,191,#N/A,#N/A,0,#N/A,#N/A
University of Toledo,#N/A,0,496976,171,62,758,189
University of Tulsa,20879,152,114578,21,137,1709,289
University of Utah,#N/A,0,3019944,852,9,106,53
University of Vermont,118298,89,990100,102,83,427,127
University of Virginia,469682,23,3282887,403,29,125,38
University of Washington,0,0,3175307,857,8,#N/A,#N/A
University of West Georgia,510,499,26682,#N/A,0,#N/A,#N/A
University of Western States,564,488,#N/A,#N/A,0,#N/A,#N/A
University of Wyoming,125032,87,504298,92,85,609,162
Ursinus College,982,414,#N/A,#N/A,0,#N/A,#N/A
Utah State University,187314,65,752547,126,74,576,159
Utah Valley University,348,549,14900,#N/A,0,1454,298
Utica College,370,539,#N/A,#N/A,0,#N/A,#N/A
Valdosta State University,384,532,9332,1,230,#N/A,#N/A
Valley City State University,0,0,#N/A,#N/A,0,#N/A,#N/A
Valparaiso University,3083,295,4770,#N/A,0,#N/A,#N/A
Vanderbilt University,#N/A,0,3658239,383,31,64,31
Vassar College,1600,362,14928,#N/A,0,#N/A,#N/A
Villanova University,19037,161,223801,7,165,1192,224
Virginia Commonwealth University,235464,50,#N/A,146,69,291,84
Virginia Military Institute,534,496,1872,#N/A,0,#N/A,#N/A
Virginia Polytechnic Institute and State University,522425,20,2202302,361,35,#N/A,#N/A
Virginia State University,10725,198,2112,1,267,#N/A,#N/A
Wabash College,392,530,#N/A,1,233,#N/A,#N/A
Wake Forest University,182227,68,278268,177,60,278,79
Washington & Jefferson College,0,0,#N/A,#N/A,0,#N/A,#N/A
Washington and Lee University,0,0,#N/A,#N/A,0,-,304
Washington State University,356901,32,#N/A,171,64,318,104
Wayland Baptist University,#N/A,0,#N/A,1,265,#N/A,#N/A
Wayne State University,227728,52,1244335,260,46,260,97
Weber State University,907,424,57465,4,189,#N/A,#N/A
Wellesley College,10326,200,87868,3,199,1648,320
Wentworth Institute of Technology,#N/A,0,1037,#N/A,0,#N/A,#N/A
Wesleyan University,8945,206,118487,#N/A,0,1483,186
West Chester University of Pennsylvania,7293,222,33129,#N/A,0,#N/A,#N/A
West Liberty University,0,0,#N/A,#N/A,0,#N/A,#N/A
West Texas A&M University,4943,254,3157,#N/A,0,#N/A,#N/A
West Virginia School of Osteopathic Medicine,369,540,#N/A,#N/A,0,#N/A,#N/A
West Virginia State University,6305,234,#N/A,#N/A,0,#N/A,#N/A
West Virginia University,185606,66,792406,65,93,494,142
West Virginia Wesleyan College,0,0,#N/A,#N/A,0,#N/A,#N/A
Western Carolina University,1474,373,38463,#N/A,0,#N/A,#N/A
Western Connecticut State University,414,526,1231,#N/A,0,#N/A,#N/A
Western Illinois University,2006,334,21746,#N/A,0,#N/A,#N/A
Western Kentucky University,10814,197,71839,8,158,1845,346
Western Michigan University,22372,149,244496,18,139,1291,272
Western New England University,#N/A,0,5663,#N/A,0,#N/A,#N/A
Western New Mexico University,421,524,#N/A,#N/A,0,#N/A,#N/A
Western Oregon University,464,514,1482,#N/A,0,#N/A,#N/A
Western University of Health Sciences,6187,237,19580,3,190,#N/A,#N/A
Western Washington University,13014,188,164040,3,206,1494,303
Westmont College,261,570,#N/A,#N/A,0,#N/A,#N/A
Whitman College,818,441,1050,#N/A,0,#N/A,#N/A
Whittier College,1516,369,#N/A,#N/A,0,#N/A,#N/A
Whitworth University,792,447,#N/A,#N/A,0,#N/A,#N/A
Wichita State University,78514,101,96908,8,157,1836,342
Widener University,541,494,12084,1,260,#N/A,#N/A
Wilberforce University,0,0,#N/A,#N/A,0,#N/A,#N/A
Wiley College,0,0,#N/A,#N/A,0,#N/A,#N/A
Wilkes University,598,483,1554,#N/A,0,#N/A,#N/A
Willamette University,3147,293,10277,#N/A,0,#N/A,#N/A
William Paterson University of New Jersey,#N/A,0,23055,#N/A,0,#N/A,#N/A
Williams College,5227,248,70087,#N/A,0,1816,273
Winona State University,349,547,#N/A,#N/A,0,#N/A,#N/A
Winston-Salem State University,1575,363,#N/A,#N/A,0,#N/A,#N/A
Winthrop University,1826,348,1805,#N/A,0,#N/A,#N/A
Wittenberg University,270,567,#N/A,#N/A,0,#N/A,#N/A
Woods Hole Oceanographic Institution,194088,61,#N/A,30,122,#N/A,#N/A
Worcester Polytechnic Institute,33368,135,409041,53,104,1201,233
Wright State University,59379,112,228184,64,94,1073,246
Xavier University,#N/A,0,#N/A,#N/A,0,-,333
Xavier University of Louisiana,12424,190,4116,#N/A,0,#N/A,#N/A
Yale University,951084,8,6188932,506,25,20,8
Yeshiva University,3258,286,652470,245,48,230,71
Youngstown State University,4439,260,10124,#N/A,0,#N/A,#N/A
